CarCompany,URL Image,Model,Price,Country of Origin,Class,Body,Style,Engine,Gearbox,Power (hp),Torque (Nm),Fuel Econ (L/100km),Fuel Econ (km/L),0-100 kph (sec),Top speed (kph)
FIAT,https://www.drivearabia.com/carprices/media/catalog/1018104915/fiat500-1.jpg,Fiat 500,72000,Italy,Mini Hatchback / Convertible,3-door,hatchback,1.4 I4 FWD,5AM,100,131,5.8,17.2,10.5-11.0,182
FIAT,https://www.drivearabia.com/carprices/media/catalog/1018104915/fiat500-1.jpg,Fiat 500,72000,Italy,Mini Hatchback / Convertible,3-door,hatchback,1.4 I4 FWD,5AM,100,131,5.8,17.2,10.5-11.0,182
FIAT,https://www.drivearabia.com/carprices/media/catalog/1018104915/fiat500-1.jpg,Fiat 500,72000,Italy,Mini Hatchback / Convertible,3-door,hatchback,1.4 I4 FWD,5AM,100,131,5.8,17.2,10.5-11.0,182
FIAT,https://www.drivearabia.com/carprices/media/catalog/1018104915/fiat500-1.jpg,Fiat 500,72000,Italy,Mini Hatchback / Convertible,3-door,hatchback,1.4 I4 FWD,5AM,100,131,5.8,17.2,10.5-11.0,182
FIAT,https://www.drivearabia.com/carprices/media/catalog/5e677371c3e4bFiat_500X_2019_front.jpg,Fiat 500X,69000,Serbia,Sub-compact SUV,5-door,wagon,1.4TC I4 FWD/4WD,6A,138,230,6.7,14.9,9.8,190
FIAT,https://www.drivearabia.com/carprices/media/catalog/5e677371c3e4bFiat_500X_2019_front.jpg,Fiat 500X,69000,Serbia,Sub-compact SUV,5-door,wagon,1.4TC I4 FWD/4WD,6A,138,230,6.7,14.9,9.8,190
FIAT,https://www.drivearabia.com/carprices/media/catalog/5e677371c3e4bFiat_500X_2019_front.jpg,Fiat 500X,69000,Serbia,Sub-compact SUV,5-door,wagon,1.4TC I4 FWD/4WD,6A,138,230,6.7,14.9,9.8,190
FIAT,https://www.drivearabia.com/carprices/media/catalog/5b1d30091ef92fiat_ducato_front.jpg,Fiat Ducato,82500,Turkey,Commercial Large Van,4-door,van,2.3TD I4 FWD,6M,130,320,7,14.3,13.0-14.0,150
FIAT,https://www.drivearabia.com/carprices/media/catalog/5b1d30091ef92fiat_ducato_front.jpg,Fiat Ducato,82500,Turkey,Commercial Large Van,4-door,van,2.3TD I4 FWD,6M,130,320,7,14.3,13.0-14.0,150
FIAT,https://www.drivearabia.com/carprices/media/catalog/5b1d30091ef92fiat_ducato_front.jpg,Fiat Ducato,82500,Turkey,Commercial Large Van,4-door,van,2.3TD I4 FWD,6M,130,320,7,14.3,13.0-14.0,150
FIAT,https://www.drivearabia.com/carprices/media/catalog/5e679ed1ea922Fiat_Fiorino_2018_front.jpg,Fiat Fiorino,44900,Turkey,Commercial Compact Van,4-door,van,1.4TC I4 FWD,5M,75,120,6.1,16.4,15.0-17.0,170
FIAT,https://www.drivearabia.com/carprices/media/catalog/5e679ed1ea922Fiat_Fiorino_2018_front.jpg,Fiat Fiorino,44900,Turkey,Commercial Compact Van,4-door,van,1.4TC I4 FWD,5M,75,120,6.1,16.4,15.0-17.0,170
FIAT,https://www.drivearabia.com/carprices/media/catalog/5e679ed1ea922Fiat_Fiorino_2018_front.jpg,Fiat Fiorino,44900,Turkey,Commercial Compact Van,4-door,van,1.4TC I4 FWD,5M,75,120,6.1,16.4,15.0-17.0,170
FORD,https://www.drivearabia.com/carprices/media/catalog/5f0d5229e9c27Ford_Bronco_4_door_2021_front_dubai_uae.jpg,Ford Bronco,58000,United States,Midsize SUV,5-door,wagon,2.3TC I4 4WD,7M/10A,270,420,8,-,-,200
FORD,https://www.drivearabia.com/carprices/media/catalog/5f14443500386ford_bronco_2_door_front_dubai_uae.jpg,Ford Bronco 2-Door,58000,United States,Midsize SUV,3-door,wagon,2.3TC I4 4WD,7M/10A,270,420,8,-,-,200
FORD,https://www.drivearabia.com/carprices/media/catalog/5f0d81ffc19efFord_Bronco_Sport_2021_front.jpg,Ford Bronco Sport,58000,United States,Compact SUV,5-door,wagon,2.0TC I4 FWD,8A,181,258,6,-,-,200
FORD,https://www.drivearabia.com/carprices/media/catalog/5a37bda7eebe2Ford_EcoSport_2018_front.jpg,Ford Ecosport,58000,India,Sub-Compact SUV,5-door,wagon,1.5 I4 FWD,5M/6A,109,142,6.5,15.4,11.6-13.4,175
FORD,https://www.drivearabia.com/carprices/media/catalog/5a37bda7eebe2Ford_EcoSport_2018_front.jpg,Ford Ecosport,58000,India,Sub-Compact SUV,5-door,wagon,1.5 I4 FWD,5M/6A,109,142,6.5,15.4,11.6-13.4,175
FORD,https://www.drivearabia.com/carprices/media/catalog/5a37bda7eebe2Ford_EcoSport_2018_front.jpg,Ford Ecosport,58000,India,Sub-Compact SUV,5-door,wagon,1.5 I4 FWD,5M/6A,109,142,6.5,15.4,11.6-13.4,175
FORD,https://www.drivearabia.com/carprices/media/catalog/5cac7f03f34742019_ford_edge_front.jpg,Ford Edge,115000,Canada,Midsize SUV,5-door,wagon,2.0TC I4 FWD,8A,250,373,7.2,13.9,8.1,200
FORD,https://www.drivearabia.com/carprices/media/catalog/5cac7f03f34742019_ford_edge_front.jpg,Ford Edge,115000,Canada,Midsize SUV,5-door,wagon,2.0TC I4 FWD,8A,250,373,7.2,13.9,8.1,200
FORD,https://www.drivearabia.com/carprices/media/catalog/5cac7f03f34742019_ford_edge_front.jpg,Ford Edge,128000,Canada,Midsize SUV,5-door,wagon,2.0TC I4 FWD,8A,250,373,7.2,13.9,8.1,200
FORD,https://www.drivearabia.com/carprices/media/catalog/5e2d5d26ccdec2020_ford_escape_front.jpg,Ford Escape,89000,United States,Compact SUV,5-door,wagon,1.5TC I3 FWD,8A,180,240,6.7,14.9,8.7,180
FORD,https://www.drivearabia.com/carprices/media/catalog/595a57474f2c4Ford_Escape_2017_front.jpg,Ford Escape,89000,United States,Compact SUV,5-door,wagon,2.5 I4 FWD,6A,168,230,7.5,13.3,10.1,180
FORD,https://www.drivearabia.com/carprices/media/catalog/595a57474f2c4Ford_Escape_2017_front.jpg,Ford Escape,89000,United States,Compact SUV,5-door,wagon,2.5 I4 FWD,6A,168,230,7.5,13.3,10.1,180
FORD,https://www.drivearabia.com/carprices/media/catalog/5da9deade735f2020_ford_escort_front.jpg,Ford Escort,63000,China,Compact Sedan,4-door,sedan,1.5 I4 FWD,6A,121,150,5.2,19.2,11,187
FORD,https://www.drivearabia.com/carprices/media/catalog/5da9deade735f2020_ford_escort_front.jpg,Ford Escort,63000,China,Compact Sedan,4-door,sedan,1.5 I4 FWD,6A,121,150,5.2,19.2,11,187
FORD,https://www.drivearabia.com/carprices/media/catalog/59d0a59737ce1Ford_Expedition_2018_front.jpg,Ford Expedition,173000,United States,Large SUV,5-door,wagon,3.5TC V6 4WD,10A,375,640,10.6,9.4,6.4,185
FORD,https://www.drivearabia.com/carprices/media/catalog/59d0a59737ce1Ford_Expedition_2018_front.jpg,Ford Expedition,173000,United States,Large SUV,5-door,wagon,3.5TC V6 4WD,10A,375,640,10.6,9.4,6.4,185
FORD,https://www.drivearabia.com/carprices/media/catalog/59d0a59737ce1Ford_Expedition_2018_front.jpg,Ford Expedition,215000,United States,Large SUV,5-door,wagon,3.5TC V6 4WD,10A,375,640,10.6,9.4,6.4,185
FORD,https://www.drivearabia.com/carprices/media/catalog/5dd23b6eb94ba2020_ford_explorer_front.jpg,Ford Explorer,181545,United States,Midsize SUV,5-door,wagon,2.3TC I4 RWD,10A,300,420,8.4,11.9,7,180
FORD,https://www.drivearabia.com/carprices/media/catalog/5dd23b6eb94ba2020_ford_explorer_front.jpg,Ford Explorer,181545,United States,Midsize SUV,5-door,wagon,2.3TC I4 RWD,10A,300,420,8.4,11.9,7,180
FORD,https://www.drivearabia.com/carprices/media/catalog/546d2f6da5c622016_Ford_Explorer_front.jpg,Ford Explorer,149000,United States,Midsize SUV,5-door,wagon,3.5 V6 FWD/4WD,6A,290,346,10.0-10.3,10,9,173
FORD,https://www.drivearabia.com/carprices/media/catalog/60365a72e3ae6Ford_F_150_2021_front.jpg,Ford F-150,189000,United States,Large Pickup,2-door,pickup,5.0 V8 4WD,10A,400,555,10.6,9.4,6.4,160
FORD,https://www.drivearabia.com/carprices/media/catalog/5a438a087bd8aFord_F_150_2018_front.jpg,Ford F-150,155000,United States,Large Pickup,2-door,pickup,3.5TC V6 4WD,10A,290,359,10.6,9.4,7,160
FORD,https://www.drivearabia.com/carprices/media/catalog/5a438a087bd8aFord_F_150_2018_front.jpg,Ford F-150,155000,United States,Large Pickup,2-door,pickup,3.5TC V6 4WD,10A,290,359,10.6,9.4,7,160
FORD,https://www.drivearabia.com/carprices/media/catalog/58e39369c92022017_ford_f_150_raptor_front.jpg,Ford F-150 Raptor,215000,United States,Large Pickup,4-door,pickup,3.5TC V6 4WD,10A,415,678,14.1,7.1,6.5-7.0,160
FORD,https://www.drivearabia.com/carprices/media/catalog/58e39369c92022017_ford_f_150_raptor_front.jpg,Ford F-150 Raptor,215000,United States,Large Pickup,4-door,pickup,3.5TC V6 4WD,10A,415,678,14.1,7.1,6.5-7.0,160
FORD,https://www.drivearabia.com/carprices/media/catalog/58e39369c92022017_ford_f_150_raptor_front.jpg,Ford F-150 Raptor,215000,United States,Large Pickup,4-door,pickup,3.5TC V6 4WD,10A,415,678,14.1,7.1,6.5-7.0,160
FORD,https://www.drivearabia.com/carprices/media/catalog/5d35af02659582019_ford_figo_front.jpg,Ford Figo,51000,India,Mini Sedan / Hatchback,5-door,hatchback,1.5 I4 FWD,6A,110,136,5.9,16.9,11.5,180
FORD,https://www.drivearabia.com/carprices/media/catalog/5d35af02659582019_ford_figo_front.jpg,Ford Figo,51000,India,Mini Sedan / Hatchback,5-door,hatchback,1.5 I4 FWD,6A,110,136,5.9,16.9,11.5,180
FORD,https://www.drivearabia.com/carprices/media/catalog/5d35af02659582019_ford_figo_front.jpg,Ford Figo,57000,India,Mini Sedan / Hatchback,5-door,hatchback,1.5 I4 FWD,6A,110,136,5.9,16.9,11.5,178
FORD,https://www.drivearabia.com/carprices/media/catalog/5a3a76a36bcb3Ford_Mustang_GT_2018_front.jpg,Ford Mustang,200000,United States,Premium Sports Coupe,2-door,coupe,2.3TC I4 RWD,6M/10A,325,428,9.3-9.7,10.8,5.2-5.5,240
FORD,https://www.drivearabia.com/carprices/media/catalog/5a3a76a36bcb3Ford_Mustang_GT_2018_front.jpg,Ford Mustang,200000,United States,Premium Sports Coupe,2-door,coupe,2.3TC I4 RWD,6M/10A,325,428,9.3-9.7,10.8,5.2-5.5,240
FORD,https://www.drivearabia.com/carprices/media/catalog/5a3a76a36bcb3Ford_Mustang_GT_2018_front.jpg,Ford Mustang,200000,United States,Premium Sports Coupe,2-door,coupe,2.3TC I4 RWD,6M/10A,325,428,9.3-9.7,10.8,5.2-5.5,240
FORD,https://www.drivearabia.com/carprices/media/catalog/5a3f896f2c3bb2018_ford_mustang_convertible_front.png,Ford Mustang,210000,United States,Premium Sports Coupe,2-door,convertible,2.3TC I4 RWD,6M/10A,325,428,9.3-9.7,10.8,5.2-5.5,240
FORD,https://www.drivearabia.com/carprices/media/catalog/5a3f896f2c3bb2018_ford_mustang_convertible_front.png,Ford Mustang,210000,United States,Premium Sports Coupe,2-door,convertible,2.3TC I4 RWD,6M/10A,325,428,9.3-9.7,10.8,5.2-5.5,240
FORD,https://www.drivearabia.com/carprices/media/catalog/5a3f896f2c3bb2018_ford_mustang_convertible_front.png,Ford Mustang,210000,United States,Premium Sports Coupe,2-door,convertible,2.3TC I4 RWD,6M/10A,325,428,9.3-9.7,10.8,5.2-5.5,240
FORD,https://www.drivearabia.com/carprices/media/catalog/5e36b47b46eaaFord_Ranger_Wildtrak_2020_front.jpg,Ford Ranger,79000,South Africa,Midsize Pickup,2-door,pickup,2.2TD I4 RWD,6M,148,375,8,12.5,12.8,175
FORD,https://www.drivearabia.com/carprices/media/catalog/5e36b47b46eaaFord_Ranger_Wildtrak_2020_front.jpg,Ford Ranger,79000,South Africa,Midsize Pickup,2-door,pickup,2.2TD I4 RWD,6M,148,375,8,12.5,12.8,175
FORD,https://www.drivearabia.com/carprices/media/catalog/56ca49ff44d51Ford_Ranger_2016_front.jpg,Ford Ranger,79000,South Africa,Midsize Pickup,2-door,pickup,2.2TD I4 RWD/4WD,6M/6A,148,375,7.6-9.2,13.2,11.0-12.5,175
FORD,https://www.drivearabia.com/carprices/media/catalog/5c445735094b12020_ford_shelby_gt500__8_.jpg,Ford Shelby GT500,500000,United States,Premium Sports Coupe,2-door,coupe,5.2SC V8 RWD,7AM,760,847,14.4,6.9,3.5,250
FORD,https://www.drivearabia.com/carprices/media/catalog/5c445735094b12020_ford_shelby_gt500__8_.jpg,Ford Shelby GT500,425000,United States,Premium Sports Coupe,2-door,coupe,5.2SC V8 RWD,7AM,760,847,14.4,6.9,3.5,250
FORD,https://www.drivearabia.com/carprices/media/catalog/5142735b233673.29071028/2013-ford-shelby-gt500-front.jpg,Ford Shelby GT500,290000,United States,Premium Sports Coupe,2-door,coupe,5.8SC V8 RWD,6M,662,855,11.2,8.9,3.8,325
FORD,https://www.drivearabia.com/carprices/media/catalog/5d95363add704ford_taurus_front.jpg,Ford Taurus,109900,China,Premium Large Sedan,4-door,sedan,2.0TC I4 FWD,8A,240,390,7.2,13.9,8.1,218
FORD,https://www.drivearabia.com/carprices/media/catalog/5d95363add704ford_taurus_front.jpg,Ford Taurus,109900,China,Premium Large Sedan,4-door,sedan,2.0TC I4 FWD,8A,240,390,7.2,13.9,8.1,218
FORD,https://www.drivearabia.com/carprices/media/catalog/4ffd428fc549c0.42424944/fordtaurus-2013-1.jpg,Ford Taurus,96900,United States,Premium Large Sedan,4-door,sedan,3.5 V6 FWD/4WD,6A,288,344,10.0-11.4,10,7.4-7.6,200
FORD,https://www.drivearabia.com/carprices/media/catalog/5a8ae0af0f400Ford_Transit_front.jpg,Ford Tourneo Custom,126000,Turkey,Commercial Midsize Van,4-door,van,2.2TD I4 FWD,6M,123,350,5.4,18.5,14,150
FORD,https://www.drivearabia.com/carprices/media/catalog/5a8ae0af0f400Ford_Transit_front.jpg,Ford Tourneo Custom,126000,Turkey,Commercial Midsize Van,4-door,van,2.2TD I4 FWD,6M,123,350,5.4,18.5,14,150
FORD,https://www.drivearabia.com/carprices/media/catalog/5a8ae0af0f400Ford_Transit_front.jpg,Ford Tourneo Custom,126000,Turkey,Commercial Midsize Van,4-door,van,2.2TD I4 FWD,6M,123,350,5.4,18.5,14,150
FORD,https://www.drivearabia.com/carprices/media/catalog/5a8b5ed733575Ford_Transit_front.jpg,Ford Transit,136500,Turkey,Commercial Large Van,4-door,van,3.7 V6 RWD,6A,275,352,12.7-13.5,7.9,14.0-16.0,210
FORD,https://www.drivearabia.com/carprices/media/catalog/5a8b5ed733575Ford_Transit_front.jpg,Ford Transit,136500,Turkey,Commercial Large Van,4-door,van,3.7 V6 RWD,6A,275,352,12.7-13.5,7.9,14.0-16.0,210
FORD,https://www.drivearabia.com/carprices/media/catalog/5a8b5ed733575Ford_Transit_front.jpg,Ford Transit,136500,Turkey,Commercial Large Van,4-door,van,3.7 V6 RWD,6A,275,352,12.7-13.5,7.9,14.0-16.0,210
FORD,https://www.drivearabia.com/carprices/media/catalog/5a8aca3f6c63bFord_Transit_Custom_270_SWB_Low_Roof_100ps_Van_front.jpg,Ford Transit Custom,105000,Turkey,Commercial Midsize Van,4-door,van,2.2TD I4 FWD,6M,99,310,5.2,19.2,17,150
FORD,https://www.drivearabia.com/carprices/media/catalog/5a8aca3f6c63bFord_Transit_Custom_270_SWB_Low_Roof_100ps_Van_front.jpg,Ford Transit Custom,105000,Turkey,Commercial Midsize Van,4-door,van,2.2TD I4 FWD,6M,99,310,5.2,19.2,17,155
FORD,https://www.drivearabia.com/carprices/media/catalog/5a8aca3f6c63bFord_Transit_Custom_270_SWB_Low_Roof_100ps_Van_front.jpg,Ford Transit Custom,105000,Turkey,Commercial Midsize Van,4-door,van,2.2TD I4 FWD,6M,99,310,5.2,19.2,17,150
FOTON,https://www.drivearabia.com/carprices/media/catalog/510af21eca8ac5.58946263/Foton-SUP.jpg,Foton SUP,105000,China,Midsize Pickup,4-door,pickup,2.2 I4 2WD,5M,102,193,9,11.1,18.0-19.0,140
FOTON,https://www.drivearabia.com/carprices/media/catalog/510af21eca8ac5.58946263/Foton-SUP.jpg,Foton SUP,105000,China,Midsize Pickup,4-door,pickup,2.2 I4 2WD,5M,102,193,9,11.1,18.0-19.0,140
FOTON,https://www.drivearabia.com/carprices/media/catalog/510af21eca8ac5.58946263/Foton-SUP.jpg,Foton SUP 2014,105000,China,Midsize Pickup,4-door,pickup,2.2 I4 2WD,5M,102,193,9,11.1,18.0-19.0,140
FOTON,https://www.drivearabia.com/carprices/media/catalog/554b3273d809bFoton_Tunland_front.jpg,Foton Tunland,58000,China,Midsize Pickup,4-door,pickup,2.4 I4 RWD,5M,134,200,10.5,9.5,15.0-16.0,170
FOTON,https://www.drivearabia.com/carprices/media/catalog/554b3273d809bFoton_Tunland_front.jpg,Foton Tunland,58000,China,Midsize Pickup,4-door,pickup,2.4 I4 RWD,5M,134,200,10.5,9.5,15.0-16.0,170
FOTON,https://www.drivearabia.com/carprices/media/catalog/554b3273d809bFoton_Tunland_front.jpg,Foton Tunland,58000,China,Midsize Pickup,4-door,pickup,2.4 I4 RWD,5M,134,200,10.5,9.5,15.0-16.0,170
FOTON,https://www.drivearabia.com/carprices/media/catalog/554b6fc3852dbFoton_View_C_Mini_Bus_front.png,Foton View C1 Minibus,50000,China,Commercial Midsize Van,4-door,van,2.2 I4 FWD,5M,102,193,9.5-10.0,10.5,15.5-16.5,120
FOTON,https://www.drivearabia.com/carprices/media/catalog/554b6fc3852dbFoton_View_C_Mini_Bus_front.png,Foton View C1 Minibus,50000,China,Commercial Midsize Van,4-door,van,2.2 I4 FWD,5M,102,193,9.5-10.0,10.5,15.5-16.5,120
FOTON,https://www.drivearabia.com/carprices/media/catalog/554b6fc3852dbFoton_View_C_Mini_Bus_front.png,Foton View C1 Minibus,50000,China,Commercial Midsize Van,4-door,van,2.2 I4 FWD,5M,102,193,9.5-10.0,10.5,15.5-16.5,120
GAC,https://www.drivearabia.com/carprices/media/catalog/54abae7cd9dcagac_trumpchi_ga3_front.jpeg,GAC GA3,50000,China,Compact Sedan,4-door,sedan,1.6 I4 FWD,5M/4A,121,153,6.1,16.4,12.5,180
GAC,https://www.drivearabia.com/carprices/media/catalog/54abae7cd9dcagac_trumpchi_ga3_front.jpeg,GAC GA3,50000,China,Compact Sedan,4-door,sedan,1.6 I4 FWD,5M/4A,121,153,6.1,16.4,12.5,180
GAC,https://www.drivearabia.com/carprices/media/catalog/54abae7cd9dcagac_trumpchi_ga3_front.jpeg,GAC GA3,50000,China,Compact Sedan,4-door,sedan,1.6 I4 FWD,5M/4A,121,153,6.1,16.4,12.5,180
GAC,https://www.drivearabia.com/carprices/media/catalog/54bbaef435012gac_trumpchi_ga5_front.jpg,GAC GA5,50000,China,Midsize Sedan,4-door,sedan,2.0 I4 FWD,5A,148,183,9.4,10.6,12.5,190
GAC,https://www.drivearabia.com/carprices/media/catalog/54bbaef435012gac_trumpchi_ga5_front.jpg,GAC GA5,50000,China,Midsize Sedan,4-door,sedan,2.0 I4 FWD,5A,148,183,9.4,10.6,12.5,190
GAC,https://www.drivearabia.com/carprices/media/catalog/5a8c2f9536eedga8_front.jpg,GAC GA8,93555,China,Large Sedan,4-door,sedan,2.0TC I4 FWD,6A,195,300,7.9,12.7,9.5,200
GAC,https://www.drivearabia.com/carprices/media/catalog/5a8c2f9536eedga8_front.jpg,GAC GA8,93555,China,Large Sedan,4-door,sedan,2.0TC I4 FWD,6A,195,300,7.9,12.7,9.5,200
GAC,https://www.drivearabia.com/carprices/media/catalog/5a8c2f9536eedga8_front.jpg,GAC GA8,93555,China,Large Sedan,4-door,sedan,2.0TC I4 FWD,6A,195,300,7.9,12.7,8.5-9.5,200
GAC,https://www.drivearabia.com/carprices/media/catalog/5eb3a1ed3579agac_gn8_front.jpg,GAC GN8,108000,China,Large Minivan,5-door,minivan,2.0TC I4 FWD,6AM,198,320,8.9,11.2,9.5,200
GAC,https://www.drivearabia.com/carprices/media/catalog/5a9283e41f8eegac_gs3_front.jpg,GAC GS3,51555,China,Sub-Compact SUV,5-door,wagon,1.5 I4 FWD,6A,114,150,6.9,14.5,12.5,180
GAC,https://www.drivearabia.com/carprices/media/catalog/5a9283e41f8eegac_gs3_front.jpg,GAC GS3,51555,China,Sub-Compact SUV,5-door,wagon,1.5 I4 FWD,6A,114,150,6.9,14.5,12.5,180
GAC,https://www.drivearabia.com/carprices/media/catalog/5a9283e41f8eegac_gs3_front.jpg,GAC GS3,62500,China,Sub-Compact SUV,5-door,wagon,1.3TC I4 FWD,6A,135,202,7,14.3,9.0-10.0,200
GAC,https://www.drivearabia.com/carprices/media/catalog/595d053f1b7fegac_gs4_front.jpg,GAC GS4,62500,China,Sub-Compact SUV,5-door,wagon,1.5TC I4 FWD,7A,152,200,6.1,16.4,9.5,180
GAC,https://www.drivearabia.com/carprices/media/catalog/595d053f1b7fegac_gs4_front.jpg,GAC GS4,62500,China,Sub-Compact SUV,5-door,wagon,1.5TC I4 FWD,7A,152,200,6.1,16.4,9.5,180
GAC,https://www.drivearabia.com/carprices/media/catalog/595d053f1b7fegac_gs4_front.jpg,GAC GS4,68000,China,Sub-Compact SUV,5-door,wagon,1.5TC I4 FWD,7A,152,200,6.1,16.4,9.5,180
GAC,https://www.drivearabia.com/carprices/media/catalog/5f8c528a221d4GAC_GS5_front.jpg,GAC GS5,94170,China,Compact SUV,5-door,wagon,1.5TC I4 FWD,6A,169,265,7,14.3,9.0-10.0,190
GAC,https://www.drivearabia.com/carprices/media/catalog/5f8c528a221d4GAC_GS5_front.jpg,GAC GS5,94170,China,Compact SUV,5-door,wagon,1.5TC I4 FWD,6A,169,265,7,14.3,9.0-10.0,190
GAC,https://www.drivearabia.com/carprices/media/catalog/54c2d035c384fgac_gs5_front.jpg,GAC GS5,94170,China,Compact SUV,5-door,wagon,2.0 I4 FWD,5M/5A,148,183,6.5-7.0,15.4,14,185
GAC,https://www.drivearabia.com/carprices/media/catalog/5a8d43f88bbfagac_gs7_front.jpg,GAC GS7,78900,China,Compact SUV,5-door,wagon,2.0TC I4 FWD,6A,198,320,8.8,11.4,10,210
GAC,https://www.drivearabia.com/carprices/media/catalog/5a8d43f88bbfagac_gs7_front.jpg,GAC GS7,78900,China,Compact SUV,5-door,wagon,2.0TC I4 FWD,6A,198,320,8.8,11.4,10,210
GAC,https://www.drivearabia.com/carprices/media/catalog/5a8c4e56e0d412017_gac_gs8_front.jpg,GAC GS8,99000,China,Midsize SUV,5-door,wagon,2.0TC I4 FWD,6A,201,320,6.5,15.4,10,200
GAC,https://www.drivearabia.com/carprices/media/catalog/5a8c4e56e0d412017_gac_gs8_front.jpg,GAC GS8,99000,China,Midsize SUV,5-door,wagon,2.0TC I4 FWD,6A,201,320,6.5,15.4,10,200
GAC,https://www.drivearabia.com/carprices/media/catalog/5a8c4e56e0d412017_gac_gs8_front.jpg,GAC GS8,99000,China,Midsize SUV,5-door,wagon,2.0TC I4 FWD,6A,201,320,6.5,15.4,8.5-9.5,200
GEELY,https://www.drivearabia.com/carprices/media/catalog/558c846dedae5Geely_Emgrand_7_front.jpg,Geely Emgrand 7,34000,China,Compact Sedan,4-door,sedan,1.8 I4 FWD,5M/CVT,137,172,7.2-7.7,13.9,12.8-14.0,180
GEELY,https://www.drivearabia.com/carprices/media/catalog/558c846dedae5Geely_Emgrand_7_front.jpg,Geely Emgrand 7,34000,China,Compact Sedan,4-door,sedan,1.8 I4 FWD,5M/CVT,137,172,7.2-7.7,13.9,12.8-14.0,180
GEELY,https://www.drivearabia.com/carprices/media/catalog/558c87f6198b7Geely_Emgrand_8_front.jpg,Geely Emgrand 8,45000,China,Midsize Sedan,4-door,sedan,2.0 I4 FWD,5M/6A,139,170,8.5-9.2,11.8,13.0-18.0,180
GEELY,https://www.drivearabia.com/carprices/media/catalog/558c87f6198b7Geely_Emgrand_8_front.jpg,Geely Emgrand 8,45000,China,Midsize Sedan,4-door,sedan,2.0 I4 FWD,5M/6A,139,170,8.5-9.2,11.8,13.0-18.0,180
GEELY,https://www.drivearabia.com/carprices/media/catalog/5a68545b2c196geely_emgrand_gs_2018_1.jpg,Geely Emgrand GS,63000,China,Compact Hatchback,5-door,hatchback,1.8 I4 FWD,6AM,130,170,6.9,14.5,10.5,180
GEELY,https://www.drivearabia.com/carprices/media/catalog/5a68545b2c196geely_emgrand_gs_2018_1.jpg,Geely Emgrand GS,63000,China,Compact Hatchback,5-door,hatchback,1.8 I4 FWD,6AM,130,170,6.9,14.5,10.5,180
GEELY,https://www.drivearabia.com/carprices/media/catalog/572f82e355467geely_emgrand_gt_front.jpg,Geely Emgrand GT,60000,China,Midsize Sedan,4-door,sedan,2.4 I4 FWD,6A,160,210,9.5,10.5,11,170
GEELY,https://www.drivearabia.com/carprices/media/catalog/59998ab243b33geely_x7_front.jpg,Geely Emgrand X7,50000,China,Sub-Compact SUV,5-door,wagon,1.3TC I4 FWD,CVT,133,185,6.3,15.9,9.2,180
GEELY,https://www.drivearabia.com/carprices/media/catalog/59998ab243b33geely_x7_front.jpg,Geely Emgrand X7,50000,China,Sub-Compact SUV,5-door,wagon,1.3TC I4 FWD,CVT,133,185,6.3,15.9,9.2,180
GEELY,https://www.drivearabia.com/carprices/media/catalog/558c8beb409a1Geely_Emgrand_X7_front.jpg,Geely Emgrand X7,43000,China,Compact SUV,5-door,wagon,2.0 I4 FWD,5M,139,178,9.0-9.5,11.1,12.5-13.5,170
GEELY,https://www.drivearabia.com/carprices/media/catalog/57ea63f7a1131geely_emgrand_x7_sport.jpg,Geely Emgrand X7 Sport,65000,China,Compact SUV,5-door,wagon,2.4 I4 FWD,6A,153,225,10.5,9.5,10.9,170
GEELY,https://www.drivearabia.com/carprices/media/catalog/57ea63f7a1131geely_emgrand_x7_sport.jpg,Geely Emgrand X7 Sport,65000,China,Compact SUV,5-door,wagon,2.4 I4 FWD,6A,153,225,10.5,9.5,10.9,170
GEELY,https://www.drivearabia.com/carprices/media/catalog/57ea63f7a1131geely_emgrand_x7_sport.jpg,Geely Emgrand X7 Sport,65000,China,Compact SUV,5-door,wagon,2.4 I4 FWD,6A,153,225,10.5,9.5,10.9,170
GEELY,https://www.drivearabia.com/carprices/media/catalog/558c01257017bgeely_gc2_front.jpg,Geely GC2,21000,China,Mini Hatchback,5-door,hatchback,1.3 I4 FWD,5M,85,110,5.0-5.5 5.5-6.5,20,11.5-12.0,160
GEELY,https://www.drivearabia.com/carprices/media/catalog/558c01257017bgeely_gc2_front.jpg,Geely GC2,21000,China,Mini Hatchback,5-door,hatchback,1.3 I4 FWD,5M,85,110,5.0-5.5 5.5-6.5,20,11.5-12.0,160
GEELY,https://www.drivearabia.com/carprices/media/catalog/558c060f66ecfgeely_gc6_front.jpg,Geely GC6,26000,China,Sub-Compact Sedan,4-door,sedan,1.5 I4 FWD,5M,101,141,6.0-6.5,16.7,13.0-13.5,165
GEELY,https://www.drivearabia.com/carprices/media/catalog/558c060f66ecfgeely_gc6_front.jpg,Geely GC6,26000,China,Sub-Compact Sedan,4-door,sedan,1.5 I4 FWD,5M,101,141,6.0-6.5,16.7,13.0-13.5,165
GEELY,https://www.drivearabia.com/carprices/media/catalog/558c09e1e3557geely_gc7_front.jpg,Geely GC7,30000,China,Compact Sedan,4-door,sedan,1.8 I4 FWD,5M/CVT,131,170,7.9-9.6,12.7,11.5-12.5,185
